Step,PC,Prediction,Actual,Accuracy,Source
238,4250,1,-1,0.7866108786610879,perceptron
239,4400,1,-1,0.7833333333333333,perceptron
240,4264,1,1,0.7842323651452282,perceptron
241,4075,-1,1,0.78099173553719,perceptron
242,4105,-1,-1,0.7818930041152263,perceptron
243,4474,1,1,0.7827868852459017,perceptron
244,4874,1,-1,0.7795918367346939,perceptron
245,4373,1,1,0.7804878048780488,perceptron
246,4787,1,1,0.7813765182186235,perceptron
247,4478,1,-1,0.7782258064516129,perceptron
248,4826,1,1,0.7791164658634538,perceptron
249,4342,1,-1,0.776,perceptron
250,1000,-1,-1,0.7768924302788844,perceptron
251,1001,-1,-1,0.7777777777777778,perceptron
252,1002,-1,-1,0.7786561264822134,perceptron
253,1003,-1,-1,0.7795275590551181,perceptron
254,1004,-1,-1,0.7803921568627451,perceptron
255,1000,-1,-1,0.78125,perceptron
256,1001,-1,-1,0.7821011673151751,perceptron
257,1002,-1,-1,0.7829457364341085,perceptron
258,1003,-1,-1,0.7837837837837838,perceptron
259,1004,-1,-1,0.7846153846153846,perceptron
260,2000,1,1,0.7854406130268199,loop
261,2000,1,1,0.7862595419847328,loop
262,2000,1,1,0.7870722433460076,loop
263,2000,-1,1,0.7840909090909091,loop
264,2000,-1,-1,0.7849056603773585,loop
265,2000,1,1,0.7857142857142857,loop
266,2000,1,1,0.7865168539325843,loop
267,2000,1,1,0.7873134328358209,loop
268,2000,-1,1,0.7843866171003717,loop
269,2000,-1,-1,0.7851851851851852,loop
270,2000,1,1,0.7859778597785978,loop
271,2000,1,1,0.7867647058823529,loop
272,2000,1,1,0.7875457875457875,loop
273,2000,-1,1,0.7846715328467153,loop
274,2000,-1,-1,0.7854545454545454,loop
275,3002,1,1,0.7862318840579711,perceptron
276,3000,1,1,0.7870036101083032,perceptron
277,3001,1,1,0.7877697841726619,perceptron
278,3002,1,1,0.7885304659498208,perceptron
279,3000,1,1,0.7892857142857143,perceptron
280,3001,1,1,0.7900355871886121,perceptron
281,3002,1,1,0.7907801418439716,perceptron
282,3000,1,1,0.7915194346289752,perceptron
283,3001,1,1,0.7922535211267606,perceptron
284,3002,1,1,0.7929824561403509,perceptron
285,4913,1,1,0.7937062937062938,perceptron
286,4384,1,1,0.794425087108014,perceptron
287,4507,-1,-1,0.7951388888888888,perceptron
288,4793,1,1,0.7958477508650519,perceptron
289,4459,1,-1,0.7931034482758621,perceptron
290,4991,1,1,0.7938144329896907,perceptron
291,4858,1,-1,0.791095890410959,perceptron
292,4299,1,1,0.7918088737201365,perceptron
293,4170,1,1,0.7925170068027211,perceptron
294,4974,1,1,0.7932203389830509,perceptron
295,4718,1,1,0.793918918918919,perceptron
296,4620,1,1,0.7946127946127947,perceptron
297,4262,1,1,0.7953020134228188,perceptron
298,4866,1,1,0.7959866220735786,perceptron
299,4466,1,1,0.7966666666666666,perceptron
300,1000,-1,-1,0.7973421926910299,perceptron
301,1001,1,-1,0.7947019867549668,perceptron
302,1002,-1,-1,0.7953795379537953,perceptron
303,1003,-1,-1,0.7960526315789473,perceptron
304,1004,-1,-1,0.7967213114754098,perceptron
305,1000,-1,-1,0.7973856209150327,perceptron
306,1001,-1,-1,0.7980456026058632,perceptron
307,1002,-1,-1,0.7987012987012987,perceptron
308,1003,-1,-1,0.7993527508090615,perceptron
309,1004,-1,-1,0.8,perceptron
310,2000,1,1,0.8006430868167203,loop
311,2000,1,1,0.8012820512820513,loop
312,2000,1,1,0.8019169329073482,loop
313,2000,-1,1,0.7993630573248408,loop
314,2000,-1,-1,0.8,loop
315,2000,1,1,0.8006329113924051,loop
316,2000,1,1,0.8012618296529969,loop
317,2000,1,1,0.8018867924528302,loop
318,2000,-1,1,0.799373040752351,loop
319,2000,-1,-1,0.8,loop
