Step,PC,Prediction,Actual,Accuracy,Source
194,4093,-1,1,0.7435897435897436,perceptron
195,1000,1,-1,0.7397959183673469,loop
196,1001,-1,-1,0.7411167512690355,perceptron
197,1002,-1,-1,0.7424242424242424,perceptron
198,1003,-1,-1,0.7437185929648241,perceptron
199,1004,-1,-1,0.745,perceptron
200,1000,1,-1,0.7412935323383084,loop
201,1001,-1,-1,0.7425742574257426,perceptron
202,1002,-1,-1,0.7438423645320197,perceptron
203,1003,-1,-1,0.7450980392156863,perceptron
204,1004,-1,-1,0.7463414634146341,perceptron
205,1000,1,-1,0.7427184466019418,loop
206,1001,-1,-1,0.7439613526570048,perceptron
207,1002,-1,-1,0.7451923076923077,perceptron
208,1003,-1,-1,0.7464114832535885,perceptron
209,1004,-1,-1,0.7476190476190476,perceptron
210,1000,1,-1,0.7440758293838863,loop
211,1001,-1,-1,0.7452830188679245,perceptron
212,1002,-1,-1,0.7464788732394366,perceptron
213,1003,-1,-1,0.7476635514018691,perceptron
214,1004,-1,-1,0.7488372093023256,perceptron
215,1000,1,-1,0.7453703703703703,loop
216,1001,-1,-1,0.7465437788018433,perceptron
217,1002,-1,-1,0.7477064220183486,perceptron
218,1003,-1,-1,0.7488584474885844,perceptron
219,1004,-1,-1,0.75,perceptron
220,2000,1,1,0.751131221719457,loop
221,2000,1,1,0.7522522522522522,loop
222,2000,1,1,0.7533632286995515,loop
223,2000,-1,1,0.75,loop
224,2000,-1,-1,0.7511111111111111,loop
225,2000,1,1,0.7522123893805309,loop
226,2000,1,1,0.7533039647577092,loop
227,2000,1,1,0.7543859649122807,loop
228,2000,-1,1,0.7510917030567685,loop
229,2000,-1,-1,0.7521739130434782,loop
230,2000,1,1,0.7532467532467533,loop
231,2000,1,1,0.7543103448275862,loop
232,2000,1,1,0.7553648068669528,loop
233,2000,-1,1,0.7521367521367521,loop
234,2000,-1,-1,0.7531914893617021,loop
235,2000,1,1,0.7542372881355932,loop
236,2000,1,1,0.7552742616033755,loop
237,2000,1,1,0.7563025210084033,loop
238,2000,-1,1,0.7531380753138075,loop
239,2000,-1,-1,0.7541666666666667,loop
240,2000,1,1,0.7551867219917012,loop
241,2000,1,1,0.756198347107438,loop
242,2000,1,1,0.757201646090535,loop
243,2000,-1,1,0.7540983606557377,loop
244,2000,-1,-1,0.7551020408163265,loop
245,3000,1,1,0.7560975609756098,perceptron
246,3001,1,1,0.757085020242915,perceptron
247,3002,1,1,0.7580645161290323,perceptron
248,3000,1,1,0.7590361445783133,perceptron
249,3001,1,1,0.76,perceptron
250,3002,1,1,0.7609561752988048,perceptron
251,3000,1,1,0.7619047619047619,perceptron
252,3001,1,1,0.7628458498023716,perceptron
253,3002,1,1,0.7637795275590551,perceptron
254,3000,1,1,0.7647058823529411,perceptron
255,4073,1,-1,0.76171875,perceptron
256,4017,1,1,0.7626459143968871,perceptron
257,4088,1,-1,0.7596899224806202,perceptron
258,4063,1,1,0.7606177606177607,perceptron
259,4055,1,1,0.7615384615384615,perceptron
260,1000,1,-1,0.7586206896551724,loop
261,1001,-1,-1,0.7595419847328244,perceptron
262,1002,-1,-1,0.7604562737642585,perceptron
263,1003,-1,-1,0.7613636363636364,perceptron
264,1004,-1,-1,0.7622641509433963,perceptron
265,1000,1,-1,0.7593984962406015,loop
266,1001,-1,-1,0.7602996254681648,perceptron
267,1002,-1,-1,0.7611940298507462,perceptron
268,1003,-1,-1,0.7620817843866171,perceptron
269,1004,-1,-1,0.762962962962963,perceptron
270,1000,1,-1,0.7601476014760148,loop
271,1001,-1,-1,0.7610294117647058,perceptron
272,1002,-1,-1,0.7619047619047619,perceptron
